Wall time,Step,Value
1780231070.3141654,16384,-2.838256597518921
1780231137.4551227,24576,-2.8389482498168945
1780231209.4577644,32768,-2.83957839012146
1780231273.378112,40960,-2.840308666229248
1780231354.0496686,49152,-2.8410449028015137
1780231426.4091625,57344,-2.841811180114746
1780231543.4659736,65536,-2.842567205429077
1780231682.4078925,73728,-2.8433759212493896
1780231832.8155718,81920,-2.844198226928711
1780232000.6060777,90112,-2.8450634479522705
1780232118.1108289,98304,-2.8456997871398926
1780232270.5903244,106496,-2.8463947772979736
1780232434.2809505,114688,-2.847102642059326
1780232573.5730073,122880,-2.847754955291748
1780232688.8995638,131072,-2.848381519317627
1780232813.3084645,139264,-2.8490614891052246
1780232983.191547,147456,-2.8498117923736572
1780233152.5397515,155648,-2.850477695465088
1780233224.96202,163840,-2.850947618484497
1780233301.786744,172032,-2.8517861366271973
1780233376.8922875,180224,-2.8528146743774414
1780233446.9159832,188416,-2.853480339050293
1780233510.3405335,196608,-2.854133129119873
1780233578.638415,204800,-2.85483717918396
1780233649.2388976,212992,-2.855773448944092
1780233713.9690926,221184,-2.856691360473633
1780233786.1589558,229376,-2.857407808303833
1780233855.0091333,237568,-2.858346939086914
1780233924.8472044,245760,-2.858912229537964
1780233989.559661,253952,-2.8595757484436035
1780234072.7686348,262144,-2.8601832389831543
1780234135.5971932,270336,-2.8608036041259766
1780234203.974542,278528,-2.861388921737671
1780234275.9822874,286720,-2.8620479106903076
1780234346.8719637,294912,-2.8627114295959473
1780234407.241199,303104,-2.8634192943573
1780234487.5806208,311296,-2.8643665313720703
1780234550.0449443,319488,-2.8650906085968018
1780234612.593306,327680,-2.8655526638031006
1780234686.0237358,335872,-2.866175651550293
1780234752.3251996,344064,-2.8669593334198
1780234810.5493543,352256,-2.8676345348358154
1780234878.2732794,360448,-2.8687033653259277
1780234946.3572016,368640,-2.8696672916412354
1780235018.82954,376832,-2.8703718185424805
1780235089.5217648,385024,-2.8710145950317383
1780235164.3727748,393216,-2.871594190597534
1780235230.0767896,401408,-2.872246503829956
1780235297.751874,409600,-2.8727707862854004
1780235365.5053587,417792,-2.873396873474121
1780235431.1012022,425984,-2.8740408420562744
1780235496.7627463,434176,-2.874650716781616
1780235566.9343486,442368,-2.875199794769287
1780235649.1723037,450560,-2.875791549682617
1780235712.9008281,458752,-2.8763558864593506
1780235782.3562768,466944,-2.8769209384918213
1780235853.5404122,475136,-2.877617120742798
1780235933.3531764,483328,-2.8782706260681152
1780236015.9175982,491520,-2.8788599967956543
1780236091.047318,499712,-2.879460096359253
1780236157.364805,507904,-2.880112648010254
1780236230.9924576,516096,-2.880815029144287
1780236293.7783284,524288,-2.881589651107788
1780236377.4704819,532480,-2.882249355316162
1780236444.0263712,540672,-2.8828775882720947
1780236516.2853708,548864,-2.883385419845581
1780236584.0976045,557056,-2.8839190006256104
1780236655.3653402,565248,-2.884577512741089
1780236725.8382463,573440,-2.8852970600128174
1780236801.311463,581632,-2.8859798908233643
1780236873.0735228,589824,-2.8866350650787354
1780236942.1034644,598016,-2.887160301208496
1780237011.3632243,606208,-2.8876636028289795
1780237077.0617998,614400,-2.88828444480896
1780237142.9410493,622592,-2.888951301574707
1780237217.0222404,630784,-2.889655590057373
1780237291.137432,638976,-2.8903684616088867
1780237356.8877146,647168,-2.8909173011779785
1780237429.5641606,655360,-2.891481637954712
1780237494.806623,663552,-2.8921680450439453
1780237564.9111152,671744,-2.892982244491577
1780237639.811704,679936,-2.893775463104248
1780237699.4963062,688128,-2.8945839405059814
1780237760.3868847,696320,-2.895318031311035
1780237830.792291,704512,-2.896135091781616
1780237900.401008,712704,-2.896994113922119
1780237973.9577167,720896,-2.8975963592529297
