Wall time,Step,Value
1780231006.0373738,8192,-1045.6346435546875
1780231070.3141654,16384,-1074.1629638671875
1780231137.4551227,24576,-1103.7548828125
1780231209.4577644,32768,-1044.8370361328125
1780231273.378112,40960,-1030.8985595703125
1780231354.0496686,49152,-1017.1127319335938
1780231426.4091625,57344,-927.9802856445312
1780231543.4659736,65536,-948.466796875
1780231682.4078925,73728,-942.6718139648438
1780231832.8155718,81920,-887.1761474609375
1780232000.6060777,90112,-897.330322265625
1780232118.1108289,98304,-801.7735595703125
1780232270.5903244,106496,-743.9627075195312
1780232434.2809505,114688,-783.520263671875
1780232573.5730073,122880,-694.3238525390625
1780232688.8995638,131072,-706.908203125
1780232813.3078866,139264,-718.1035766601562
1780232983.191547,147456,-647.2041015625
1780233152.5397515,155648,-742.6907348632812
1780233224.96202,163840,-778.38525390625
1780233301.786744,172032,-827.2401123046875
1780233376.8922875,180224,-704.11083984375
1780233446.9159832,188416,-607.4334106445312
1780233510.3405335,196608,-626.0545043945312
1780233578.638415,204800,-487.66583251953125
1780233649.2388976,212992,-482.69549560546875
1780233713.9690926,221184,-445.716796875
1780233786.1589558,229376,-457.1781311035156
1780233855.0091333,237568,-483.6798095703125
1780233924.8472044,245760,-499.9791259765625
1780233989.559661,253952,-564.5282592773438
1780234072.7686348,262144,-656.1683349609375
1780234135.5971932,270336,-655.5093383789062
1780234203.974542,278528,-636.8690185546875
1780234275.9822874,286720,-707.0502319335938
1780234346.8719637,294912,-573.5847778320312
1780234407.241199,303104,-617.4384765625
1780234487.5806208,311296,-626.7052001953125
1780234550.0449443,319488,-595.1632080078125
1780234612.593306,327680,-514.656005859375
1780234686.0237358,335872,-617.4267578125
1780234752.3251996,344064,-558.2590942382812
1780234810.5493543,352256,-423.1570129394531
1780234878.2732794,360448,-500.02142333984375
1780234946.3572016,368640,-461.2201232910156
1780235018.82954,376832,-478.092041015625
1780235089.5217648,385024,-588.1446533203125
1780235164.3727748,393216,-654.6064453125
1780235230.0767896,401408,-660.4757080078125
1780235297.751874,409600,-570.1867065429688
1780235365.5053587,417792,-495.2303771972656
1780235431.1012022,425984,-402.05010986328125
1780235496.7627463,434176,-439.9848937988281
1780235566.9343486,442368,-478.45709228515625
1780235649.1723037,450560,-592.7066040039062
1780235712.9008281,458752,-651.3006591796875
1780235782.3562768,466944,-670.3621826171875
1780235853.5404122,475136,-681.6323852539062
1780235933.3531764,483328,-697.8883666992188
1780236015.9175982,491520,-730.8900146484375
1780236091.047318,499712,-904.4906616210938
1780236157.364805,507904,-876.1085815429688
1780236230.9924576,516096,-772.0645141601562
1780236293.7783284,524288,-669.4707641601562
1780236377.4704819,532480,-588.9044189453125
1780236444.0263712,540672,-644.4567260742188
1780236516.2853708,548864,-693.5065307617188
1780236584.0976045,557056,-773.7224731445312
1780236655.3653402,565248,-695.45556640625
1780236725.837286,573440,-598.1436767578125
1780236801.311463,581632,-603.6375122070312
1780236873.0735228,589824,-630.026611328125
1780236942.1034644,598016,-758.3573608398438
1780237011.3632243,606208,-716.2424926757812
1780237077.0617998,614400,-700.1326293945312
1780237142.9410493,622592,-691.8178100585938
1780237217.0222404,630784,-594.333740234375
1780237291.137432,638976,-591.8519897460938
1780237356.8877146,647168,-556.757080078125
1780237429.5641606,655360,-590.0866088867188
1780237494.806623,663552,-530.5986938476562
1780237564.9111152,671744,-527.1206665039062
1780237639.811704,679936,-605.6884765625
1780237699.4963062,688128,-557.2257690429688
1780237760.3868847,696320,-567.0934448242188
1780237830.792291,704512,-552.9696044921875
1780237900.401008,712704,-523.7529296875
1780237973.9577167,720896,-596.0856323242188
