Wall time,Step,Value
1780231070.3141654,16384,49568.8828125
1780231137.4551227,24576,59754.86328125
1780231209.4794176,32768,62778.765625
1780231273.378112,40960,54497.55078125
1780231354.0496686,49152,39788.98046875
1780231426.4091625,57344,56416.00390625
1780231543.4818149,65536,47905.93359375
1780231682.4078925,73728,63159.9140625
1780231832.8155718,81920,44971.55078125
1780232000.6060777,90112,53283.5859375
1780232118.1108289,98304,51998.921875
1780232270.5903244,106496,29040.919921875
1780232434.2809505,114688,38369.07421875
1780232573.5730073,122880,70777.2890625
1780232688.8995638,131072,31511.115234375
1780232813.3090782,139264,34234.984375
1780232983.191547,147456,39282.6640625
1780233152.5556445,155648,66951.203125
1780233224.96202,163840,59647.359375
1780233301.786744,172032,20503.830078125
1780233376.8922875,180224,44340.60546875
1780233446.9159832,188416,41846.9609375
1780233510.3405335,196608,28294.91796875
1780233578.638415,204800,33291.4609375
1780233649.2388976,212992,15056.5576171875
1780233713.9690926,221184,41591.67578125
1780233786.1589558,229376,18948.0859375
1780233855.0091333,237568,41965.27734375
1780233924.8472044,245760,32824.59375
1780233989.559661,253952,36182.5859375
1780234072.7686348,262144,33078.30859375
1780234135.6132762,270336,63933.11328125
1780234203.974542,278528,43464.4609375
1780234275.9822874,286720,32539.24609375
1780234346.8719637,294912,50935.31640625
1780234407.241199,303104,31737.8828125
1780234487.5806208,311296,37758.57421875
1780234550.0608468,319488,51560.046875
1780234612.593306,327680,51183.74609375
1780234686.0237358,335872,19613.79296875
1780234752.3251996,344064,60761.81640625
1780234810.5493543,352256,37306.6171875
1780234878.2748091,360448,19786.033203125
1780234946.3572016,368640,34422.0703125
1780235018.82954,376832,37640.80859375
1780235089.5217648,385024,51488.859375
1780235164.3727748,393216,42460.765625
1780235230.0767896,401408,55336.28515625
1780235297.751874,409600,37816.609375
1780235365.5053587,417792,32742.353515625
1780235431.1012022,425984,33076.40234375
1780235496.7627463,434176,27764.921875
1780235566.9343486,442368,47026.55859375
1780235649.1723037,450560,51283.25390625
1780235712.9008281,458752,54562.3515625
1780235782.372415,466944,46132.19140625
1780235853.5404122,475136,45407.41796875
1780235933.3689685,483328,50673.359375
1780236015.9175982,491520,59195.0390625
1780236091.047318,499712,72647.6953125
1780236157.364805,507904,78060.3515625
1780236230.993454,516096,36824.41015625
1780236293.7783284,524288,51078.02734375
1780236377.4714592,532480,23053.970703125
1780236444.0263712,540672,56876.69140625
1780236516.287377,548864,51623.42578125
1780236584.099775,557056,55260.5546875
1780236655.3653402,565248,50588.87109375
1780236725.8382463,573440,37547.3828125
1780236801.31347,581632,42094.921875
1780236873.0735228,589824,48887.99609375
1780236942.1034644,598016,49494.609375
1780237011.3632243,606208,58816.76171875
1780237077.0617998,614400,46324.51171875
1780237142.9420466,622592,41201.484375
1780237217.0222404,630784,40494.16015625
1780237291.137432,638976,43678.546875
1780237356.903431,647168,50170.0703125
1780237429.5641606,655360,28303.982421875
1780237494.8076081,663552,46723.21484375
1780237564.9111152,671744,23015.130859375
1780237639.811704,679936,41992.1953125
1780237699.4963062,688128,55251.86328125
1780237760.3868847,696320,29778.5
1780237830.792291,704512,32626.6875
1780237900.401008,712704,35814.125
1780237973.9734876,720896,45076.6171875
